"entryID";"content";"category";"gender";"variantOf";"feminineOf";"phonetic1";"phonetic2";"originatingEntry";"processStatus";"typeModif";"raisonModif";"destinataireModif";"dateModif";"commentaireModif"
"78139";"se léoparder";"verb";NULL;NULL;NULL;"l e O p a R d e";"l E/ O/ p a R d e";"LÉOPARDÉ, -ÉE, adj.#vedette2:Léoparder (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"78226";"lève-cul à";"functionWord";NULL;NULL;NULL;"a l E v @ k y";"a l E v @ k y";"LÈVE-, élém. de compos.#vedette3:lève-cul (à), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"78258";"se libertiser";"verb";NULL;NULL;NULL;"l i b E R t i z e";"l i b E R t i z e";"LIBERTIN, -INE, adj. et subst.#vedette2:Libertiser (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"78289";"lieu de vau";"commonNoun";"masculine";NULL;NULL;"l j 2 d @ v o";"l j 2 d @ v o";"VAISSEAU, subst. masc.#vedette2:Lieu de vau, subst. masc.,";"0";NULL;NULL;NULL;NULL;NULL
"78445";"loco citato";"functionWord";NULL;NULL;NULL;"l O k o s i t a t o";"l O k o s i t a t o";"LOCO CITATO, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"78463";"se logifier";"verb";NULL;NULL;NULL;"l O Z i f j e";"l O/ Z i f j e";"LOGIQUE2 adj.#vedette2:Logifier (se), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"78492";"loi de programme";"commonNoun";"feminine";NULL;NULL;"l w a d @ p R O g R a m @";"l w a d @ p R O/ g R a m @";"LOI1 subst. fém.#vedette2:Loi-programme, loi de programme, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"78702";"macach bono";"functionWord";NULL;NULL;NULL;"m a k a S b O n o";"m a k a S b O/ n o";"MACACHE, adv.#vedette2:Macach(e) bono, (Macach bono, Macache bono)loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"78703";"macache bono";"functionWord";NULL;NULL;NULL;"m a k a S b O n o";"m a k a S b O n o";"MACACHE, adv.#vedette2:Macach(e) bono, (Macach bono, Macache bono)loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"78894";"malheure à la";"functionWord";NULL;NULL;NULL;"a l a m a l 9 R @";"a l a m a l 9 R @";"MALHEURE (À LA), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"78987";"manqueà la";"functionWord";NULL;NULL;NULL;;;"MANQUE2(À LA), loc.";"0";NULL;NULL;NULL;NULL;NULL
"78990";"se manuéliser";"verb";NULL;NULL;NULL;"manuéliser m a n H e l i z e";"m a n H E/ l i z e";"MANUEL1, -ELLE, adj.#vedette2:Manuéliser (se), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"78994";"manu militari";"functionWord";NULL;NULL;NULL;"m a n y m i l i t a R i";"m a n y m i l i t a R i";"MANU MILITARI, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"79169";"maxi-bataille navale";"commonNoun";"feminine";NULL;NULL;"m a k s i b a t a j @ n a v a l @";"m a k s i b a t a j @ n a v a l @";"MAXI-, élém. formant#vedette3:maxi-bataille navale, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"79173";"maxicarte postale";"commonNoun";"feminine";NULL;NULL;"m a k s i k a R t @ p O s t a l @";"m a k s i k a R t @ p O/ s t a l @";"MAXI-, élém. formant#vedette3:maxicarte postale, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"79195";"maxima a";"functionWord";NULL;NULL;NULL;"a m a k s i m a";"a m a k s i m a";"MAXIMA (A), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"79294";"se méditerranéiser";"verb";NULL;NULL;NULL;"m e d i t E R a n e i z e";"m E/ d i t E/ R a n E/ i z e";"MÉDITERRANÉEN, -ÉENNE, adj. et subst.#vedette2:Méditerranéiser (se), verbe pronom. réfl.";"0";NULL;NULL;NULL;NULL;NULL
"79592";"se mesquiniser";"verb";NULL;NULL;NULL;"m E s k i n i z e";"m E s k i n i z e";"MESQUIN, -INE, adj.#vedette2:Mesquiniser (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"79816";"mi-chemin à";"functionWord";NULL;NULL;NULL;"a m i S @ m e~";"a m i S @ m e~";"MI-CHEMIN (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"79827";"mi-corps à";"functionWord";NULL;NULL;NULL;"a m i k O R";"a m i k O R";"MI-CORPS (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"79829";"mi-côte à";"functionWord";NULL;NULL;NULL;"a m i k o t @";"a m i k o t @";"MI-CÔTE (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"79941";"mi-hauteur à";"functionWord";NULL;NULL;NULL;"a m i o t 9 R";"a m i O/ t 9 R";"MI-HAUTEUR (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"79944";"mi-jambe à";"functionWord";NULL;NULL;NULL;"a m i Z a~ b @";"a m i Z a~ b @";"JAMBE, subst. fém.#vedette2:Mi-jambe (à), loc. adv. / MI-JAMBE(S) (À), (MI-JAMBE , MI-JAMBES )loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"79946";"mi-jambes à";"functionWord";NULL;NULL;NULL;"a m i Z a~ b @";"a m i Z a~ b @";"MI-JAMBE(S) (À), (MI-JAMBE , MI-JAMBES )loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"79977";"se mimétiser";"verb";NULL;NULL;NULL;"m i m e t i z e";"m i m E/ t i z e";"MIMÉTISME, subst. masc.#vedette2:Mimétiser (se), verbe pronom. réfl.,";"0";NULL;NULL;NULL;NULL;NULL
"80021";"minima a";"functionWord";NULL;NULL;NULL;"a m i n i m a";"a m i n i m a";"MINIMA (A), loc. adj.";"0";NULL;NULL;NULL;NULL;NULL
"80031";"mini prix";"commonNoun";"masculine";NULL;NULL;"m i n i p R i";"m i n i p R i";"PRIX, subst. masc.#vedette2:Mini prix, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"80059";"minus habens";"commonNoun";NULL;NULL;NULL;"m i n u s a b E n s";"m i n u s a b E n s";"MINUS HABENS, MINUS, subst.";"0";NULL;NULL;NULL;NULL;NULL
"80077";"mi-représentation à";"functionWord";NULL;NULL;NULL;"a m i R @ p R e z a~ t a s j o~";"a m i R @ p R E/ z a~ t a s j o~";"REPRÉSENTATION, subst. fém.#vedette2:Mi-représentation (à), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"80101";"missi dominici";"commonNoun";"masculine";NULL;NULL;"m i s i d O m i n i s i";"m i s i d O/ m i n i s i";"MISSI DOMINICI, subst. masc. plur.";"0";NULL;NULL;NULL;NULL;NULL
"80118";"miton mitaine";"functionWord";NULL;NULL;NULL;"m i t o~ m i t E n @";"m i t o~ m i t E n @";"MITON MITAINE, loc. adj. inv.";"0";NULL;NULL;NULL;NULL;NULL
"80137";"se mobiler";"verb";NULL;NULL;NULL;"m O b i l e";"m O/ b i l e";"MOBILE, adj. et subst.masc.#vedette2:Mobiler (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"80152";"modern style";"commonNoun";"masculine";NULL;NULL;"m O d E R n @ s t i l";"m O/ d E R n @ s t i l";"MODERN STYLE, subst. masc. et adj.";"0";NULL;NULL;NULL;NULL;NULL
"80161";"modus operandi";"commonNoun";"masculine";NULL;NULL;"m O d y O p @ R a~ d i";"m O/ d y O/ p @ R a~ d i";"MODUS OPERANDI, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
